WATCODE,STATE HERITAGE FISH WATER,ALTERNATE NAME,TOWN,COUNTY,REGION,STATE HERITAGE FISH,*LAST YEAR STOCKED
3865,COLDWATER P,,KENNEBUNK,YORK,A,BKT,1967
6969,KENNEBUNK PLAINS P,,KENNEBUNK,YORK,A,BKT,1971
7614,MT ZIRCON RESERVOIR,,RUMFORD,OXFORD,A,BKT,NRS
5012,SAND P,,LIMINGTON,YORK,A,BKT,1974
3906,SPICER P,,SHAPLEIGH,YORK,A,BKT,NRS
4288,BURNT P,,OTIS,HANCOCK,C,BKT,NRS
4570,DUTTON P,,AMHERST,HANCOCK,C,BKT,1978
1090,FLOOD L,,TALMADGE,WASHINGTON,C,BKT,NRS
1092,FLOOD L (UPPER),,TALMADGE,WASHINGTON,C,BKT,NRS
7429,FOSTER L,,MARION TWP,WASHINGTON,C,BKT,NRS
4668,GOOSE P,,SWANS ISLAND,HANCOCK,C,BKT,NRS
4496,HALFMILE P,,AURORA,HANCOCK,C,BKT,NRS
4558,HALFMILE P,,AMHERST,HANCOCK,C,BKT,1938
4306,HARRIMAN P,,DEDHAM,HANCOCK,C,BKT,1973
4290,HATCASE P,,DEDHAM,HANCOCK,C,BKT,1974
4576,LITTLE JELLISON HILL P,,AMHERST,HANCOCK,C,BKT,NRS
447,LONG P,LITTLE LONG POND,MOUNT DESERT,HANCOCK,C,BKT,1985
4414,NARRAGUAGUS L,,T10 SD,HANCOCK,C,BKT,1985
4656,NOYES (NORRIS) P,,BLUE HILL,HANCOCK,C,BKT,1938
4572,SPRING BROOK P,,AMHERST,HANCOCK,C,BKT,NRS
3360,ABBIE P,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
3332,ARNOLD P,,COBURN GORE,FRANKLIN,D,BKT,1955
242,BAKER P,,CARATUNK,SOMERSET,D,BKT,1969
5110,BAKER P,,T5 R6 BKP WKR,SOMERSET,D,BKT,1972
272,BAKER FLOWAGE,,MAYFIELD TWP,SOMERSET,D,BKT,NRS
3118,BARKER P,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
3562,BEAVER MOUNTAIN L,LONG P,SANDY RIVER PLT,FRANKLIN,D,BKT,1986
3114,BEAVER P,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
3310,BEAVER P,BEAVER P (BIG),MAGALLOWAY PLT,OXFORD,D,BKT,1984
3354,BEAVER P,,SEVEN PONDS TWP,FRANKLIN,D,BKT,NRS
5142,BECK P,,T3 R5 BKP WKR,SOMERSET,D,BKT,1968
2323,BEN GILE P,,LANG TWP,FRANKLIN,D,BKT,NRS
3108,BILLINGS P #1,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
3110,BILLINGS P #2,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
3508,BIRCH P,,ROXBURY,OXFORD,D,BKT,NRS
7724,BLACK P (LOWER),,OXBOW TWP,OXFORD,D,BKT,NRS
3362,BLACK P (UPPER),,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
5114,BLAKESLEE L,BLAKESLEY L,T5 R6 BKP WKR,SOMERSET,D,BKT,NRS
2366,BLANCHARD P (No. 1),,LANG TWP,FRANKLIN,D,BKT,1970
3346,BOUNDARY P (SOUTH),,MASSACHUSETTS GORE,FRANKLIN,D,BKT,NRS
3120,BOWMAN P NO. 1,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
56,BUTLER P,,LEXINGTON TWP,SOMERSET,D,BKT,1980
5132,BUTLER P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1972
3278,C POND,,C SURPLUS,OXFORD,D,BKT,1968
176,CARIBOU P,,MOUNT ABRAM TWP,FRANKLIN,D,BKT,NRS
44,CARRY P (EAST),,CARRYING PLACE TOWN TWP,SOMERSET,D,BKT,1955
46,CARRY P (MIDDLE),,CARRYING PLACE TOWN TWP,SOMERSET,D,BKT,1945
48,CARRY P (WEST),,CARRYING PLACE TOWN TWP,SOMERSET,D,BKT,1957
5144,CEDAR P,,T3 R5 BKP WKR,SOMERSET,D,BKT,NRS
228,CHASE BOG,,CARATUNK,SOMERSET,D,BKT,NRS
3330,CROSBY P,,COBURN GORE,FRANKLIN,D,BKT,1955
7726,CUPSUPTIC P,,OXBOW TWP,OXFORD,D,BKT,NRS
5112,DAVIS P,,T5 R6 BKP WKR,SOMERSET,D,BKT,1971
16,DAY MOUNTAIN P,,AVON,FRANKLIN,D,BKT,1981
4066,DEAD STREAM P,,WEST FORKS PLT,SOMERSET,D,BKT,NRS
232,DECKER P #1,,CARATUNK,SOMERSET,D,BKT,1917
230,DECKER P #2,,CARATUNK,SOMERSET,D,BKT,1917
3366,DEER P,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
5128,DEER P,,KING & BARTLETT TWP,SOMERSET,D,BKT,NRS
2378,DILL P,,DALLAS PLT,FRANKLIN,D,BKT,NRS
9911,DIXON P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
5044,DOUGLASS P,,KIBBY TWP,FRANKLIN,D,BKT,NRS
4086,ELLIS P,,CHASE STREAM TWP,SOMERSET,D,BKT,1955
142,ENCHANTED P (Lower),,LOWER ENCHANTED TWP,SOMERSET,D,BKT,NRS
5134,EVERETT P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1945
5120,FELKER P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1972
96,FISH P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
2372,FLATIRON P,,DAVIS TWP,FRANKLIN,D,BKT,NRS
4089,FLATIRON P,,CHASE STREAM TWP,SOMERSET,D,BKT,NRS
4074,FRYPAN P,,SQUARETOWN TWP,SOMERSET,D,BKT,NRS
146,GORDON P,,UPPER ENCHANTED TWP,SOMERSET,D,BKT,NRS
3348,GRANTS P,,MASSACHUSETTS GORE,FRANKLIN,D,BKT,NRS
104,GRASS P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
234,HEALD P,,CARATUNK,SOMERSET,D,BKT,1960
94,HELEN P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
34,HID P,,KINGFIELD,FRANKLIN,D,BKT,NRS
92,HIGH P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
5150,HORSESHOE P,,T3 R5 BKP WKR,SOMERSET,D,BKT,NRS
4082,HORSESHOE P,,CHASE STREAM TWP,SOMERSET,D,BKT,1965
4102,HORSESHOE P,,EAST MOXIE TWP,SOMERSET,D,BKT,NRS
7304,HUSTON BROOK P,,DEAD RIVER TWP,SOMERSET,D,BKT,NRS
4094,ISLAND P,,CHASE STREAM TWP,SOMERSET,D,BKT,1965
3352,ISLAND P (BIG),,SEVEN PONDS TWP,FRANKLIN,D,BKT,1947
3350,ISLAND P (LITTLE),,SEVEN PONDS TWP,FRANKLIN,D,BKT,1942
3956,JOHNS P,,DAVIS TWP,FRANKLIN,D,BKT,NRS
3954,KAMANKEAG P,,DAVIS TWP,FRANKLIN,D,BKT,NRS
2374,KENNEBAGO L (BIG),,DAVIS TWP,FRANKLIN,D,BKT,1954
5136,KING & BARTLETT L,,KING & BARTLETT TWP,SOMERSET,D,BKT,1959
5138,KING L (LITTLE),,KING & BARTLETT TWP,SOMERSET,D,BKT,1963
5062,L POND,,SEVEN PONDS TWP,FRANKLIN,D,BKT,NRS
8619,LITTLE HAMMOND P,"HAMMOND P LITTLE, JULIES P",CARRABASSETT VALLEY,FRANKLIN,D,BKT,NRS
3116,LONG P,,LYNCHTOWN TWP,OXFORD,D,BKT,NRS
3356,LONG P,,SEVEN PONDS TWP,FRANKLIN,D,BKT,1942
5124,LONG P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1972
5794,LONG P (LITTLE LONG),LONG P (LITTLE),CHASE STREAM TWP,SOMERSET,D,BKT,NRS
5116,LOST P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1970
8597,MASSACHUSETTS BOG,,MASSACHUSETTS GORE,FRANKLIN,D,BKT,NRS
200,MILL (CLEAR) P,CLEAR P,PLEASANT RIDGE PLT,SOMERSET,D,BKT,1980
212,MOORE’S BOG,,CARATUNK,SOMERSET,D,BKT,NRS
7688,MOOSE BOG,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
3302,MOOSELOOKMEGUNTIC L,,ADAMSTOWN TWP,OXFORD,D,BKT,1984
186,MORSE P,,BINGHAM,SOMERSET,D,BKT,NRS
3540,MOUNTAIN P,,RANGELEY PLT,FRANKLIN,D,BKT,NRS
4084,MUD P,,CHASE STREAM TWP,SOMERSET,D,BKT,NRS
5118,MUD P,,KING & BARTLETT TWP,SOMERSET,D,BKT,NRS
3342,NORTHWEST P,,MASSACHUSETTS GORE,FRANKLIN,D,BKT,NRS
3344,NORTHWEST P (LITTLE),,MASSACHUSETTS GORE,FRANKLIN,D,BKT,NRS
3972,OTTER P,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
7344,OTTER P,,CARRYING PLACE TOWN TWP,SOMERSET,D,BKT,NRS
5148,PARKER P,,T3 R5 BKP WKR,SOMERSET,D,BKT,NRS
3966,PARMACHENEE L,,LYNCHTOWN TWP,OXFORD,D,BKT,1951
9913,PICKEREL P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
3328,POND IN THE RIVER,,TOWNSHIP C,OXFORD,D,BKT,1960
2386,QUILL P,,DALLAS PLT,FRANKLIN,D,BKT,NRS
2318,REDINGTON P,,REDINGTON TWP,FRANKLIN,D,BKT,1951
220,ROBINSON P,,CARATUNK,SOMERSET,D,BKT,NRS
3340,ROCK P,,CHAIN OF PONDS TWP,FRANKLIN,D,BKT,NRS
3530,ROSS P,,RANGELEY,FRANKLIN,D,BKT,1990
5058,ROUND MOUNTAIN P,,ALDER STREAM TWP,FRANKLIN,D,BKT,1951
4076,ROUND P,,SQUARETOWN TWP,SOMERSET,D,BKT,1966
4092,ROUND P,,CHASE STREAM TWP,SOMERSET,D,BKT,1964
3112,RUMP P,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
3578,SABBATH DAY P,,TOWNSHIP E,FRANKLIN,D,BKT,1959
4072,SCRIBNERS BOG,,SQUARETOWN TWP,SOMERSET,D,BKT,NRS
3358,SECRET P,,SEVEN PONDS TWP,FRANKLIN,D,BKT,NRS
5060,SNOW MOUNTAIN P,,ALDER STREAM TWP,FRANKLIN,D,BKT,NRS
5122,SPECTACLE P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1949
138,STONY BROOK P,,LOWER ENCHANTED TWP,SOMERSET,D,BKT,NRS
7674,SUNDAY P,,LYNCHTOWN TWP,OXFORD,D,BKT,NRS
3316,SUNDAY P,,MAGALLOWAY PLT,OXFORD,D,BKT,1992
3282,SURPLUS P,,ANDOVER NORTH SURPLUS,OXFORD,D,BKT,NRS
3572,SWIFT RIVER P (LITTLE),,TOWNSHIP E,FRANKLIN,D,BKT,NRS
2362,TIM P,,TIM POND TWP,FRANKLIN,D,BKT,NRS
4078,TOBEY P,,JOHNSON MOUNTAIN TWP,SOMERSET,D,BKT,NRS
2334,TORY HILL P,,PHILLIPS,FRANKLIN,D,BKT,1942
7112,UNNAMED P,OSSIE P,BALD MOUNTAIN TWP T2 R3,SOMERSET,D,BKT,NRS
4064,WILSON HILL P,,WEST FORKS PLT,SOMERSET,D,BKT,NRS
162,WILSON HILL P (LITTLE),,JOHNSON MOUNTAIN TWP,SOMERSET,D,BKT,NRS
3574,WITHAM P,,TOWNSHIP E,FRANKLIN,D,BKT,NRS
3286,YORK P,,GRAFTON TWP,OXFORD,D,BKT,NRS
2504,ALDER P,,ALDER BROOK TWP,SOMERSET,E,BKT,NRS
9787,ALLAGASH L,,T8 R14 WELS,PISCATAQUIS,E,BKT,NRS
422,BAKER P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,NRS
2658,BARRETT P,,HOLEB TWP,SOMERSET,E,BKT,1917
4026,BEAN POT P,,T5 R15 WELS,PISCATAQUIS,E,BKT,NRS
636,BEAR P,,RAINBOW TWP,PISCATAQUIS,E,BKT,NRS
882,BEAR P,,ELLIOTTSVILLE TWP,PISCATAQUIS,E,BKT,NRS
356,BEAR P,,SHIRLEY,PISCATAQUIS,E,BKT,1954
528,BEAR P,,TA R11 WELS,PISCATAQUIS,E,BKT,1946
5066,BEATTIE P,,BEATTIE TWP,FRANKLIN,E,BKT,1951
484,BEAVER P,,SHAWTOWN TWP,PISCATAQUIS,E,BKT,1974
670,BEAVER P,,T3 R11 WELS,PISCATAQUIS,E,BKT,1968
610,BEAVER P (BIG),,RAINBOW TWP,PISCATAQUIS,E,BKT,NRS
612,BEAVER P (LITTLE),,T3 R11 WELS,PISCATAQUIS,E,BKT,NRS
9700,BEAVER P (LITTLE),,RAINBOW TWP,PISCATAQUIS,E,BKT,1937
864,BENSON P (BIG),,WILLIMANTIC,PISCATAQUIS,E,BKT,1962
828,BENSON P (LITTLE),,BOWERBANK,PISCATAQUIS,E,BKT,NRS
2550,BERRY P,,JOHNSON MOUNTAIN TWP,SOMERSET,E,BKT,1916
2554,BERRY P (LITTLE),CHAIN P # 2,JOHNSON MOUNTAIN TWP,SOMERSET,E,BKT,1916
2930,BERRY POND,,T2 R13 WELS,PISCATAQUIS,E,BKT,1994
2932,"BERRY P, LITTLE",,T2 R13 WELS,PISCATAQUIS,E,BKT,NRS
514,BIRCH RIDGE P # 1,,TA R11 WELS,PISCATAQUIS,E,BKT,NRS
2928,BLOOD P (DUCK),DUCK P,T2 R13 WELS,PISCATAQUIS,E,BKT,NRS
434,BLUFF P,,FRENCHTOWN TWP,PISCATAQUIS,E,BKT,NRS
494,BOARDWAY P (BIG),BOARDMAN P (BIG),TA R11 WELS,PISCATAQUIS,E,BKT,1970
496,BOARDWAY P (LITTLE),BOARDMAN P (LITTLE),TA R11 WELS,PISCATAQUIS,E,BKT,1947
2426,BOBS P,,T4 R17 WELS,SOMERSET,E,BKT,NRS
290,BRACKETT P,,BLANCHARD TWP,PISCATAQUIS,E,BKT,1952
440,BRANCH P (1ST WEST),WEST BRANCH P (1ST),SHAWTOWN TWP,PISCATAQUIS,E,BKT,1957
442,BRANCH P (2ND & 3RD  WEST),WEST BRANCH P (2ND & 3RD ),SHAWTOWN TWP,PISCATAQUIS,E,BKT,NRS
2822,BRANCH P (EAST),,T7 R11 WELS,PISCATAQUIS,E,BKT,NRS
788,BROWN P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,NRS
644,BUCK P,,RAINBOW TWP,PISCATAQUIS,E,BKT,1975
834,BURDEN P,BUTTERMILK P (3RD),BOWERBANK,PISCATAQUIS,E,BKT,NRS
392,BURNHAM P,,BIG MOOSE TWP,PISCATAQUIS,E,BKT,1964
836,BUTTERMILK P (2ND),,BOWERBANK,PISCATAQUIS,E,BKT,1980
273,BUTTERMILK P (FOURTH),,BOWERBANK,PISCATAQUIS,E,BKT,1970
2516,CANADA FALLS L,,PITTSTON ACADEMY GRANT,SOMERSET,E,BKT,NRS
2568,CAPE HORN P,,BLAKE GORE,SOMERSET,E,BKT,NRS
275,CARPENTER P,,T7 R11 WELS,PISCATAQUIS,E,BKT,1986
9761,CARPENTER P (LITTLE),,T7 R11 WELS,PISCATAQUIS,E,BKT,NRS
4040,CENTER P,,SOLDIERTOWN TWP,SOMERSET,E,BKT,1977
802,CHAIRBACK P (EAST),,T7 R9 NWP,PISCATAQUIS,E,BKT,NRS
796,CHAIRBACK P (WEST),,T7 R9 NWP,PISCATAQUIS,E,BKT,NRS
4093,CHASE STREAM P,,CHASE STREAM TWP,SOMERSET,E,BKT,1974
2494,CHENEY P,,HAMMOND TWP,SOMERSET,E,BKT,NRS
5074,CLEAR P,,LOWELLTOWN TWP,FRANKLIN,E,BKT,1951
5158,CLISH P,,T5 R20 WELS,SOMERSET,E,BKT,NRS
2712,COFFEELOS P,,T6 R11 WELS,PISCATAQUIS,E,BKT,1941
2538,COLD STREAM P,,MISERY TWP,SOMERSET,E,BKT,1954
634,COLLINS P,,RAINBOW TWP,PISCATAQUIS,E,BKT,1942
520,CRAWFORD P,,TA R11 WELS,PISCATAQUIS,E,BKT,1959
286,CROCKETT P,,BLANCHARD TWP,,E,BKT,NRS
582,"DEBSCONEAG L, FOURTH",,T1 R11 WELS,PISCATAQUIS,E,BKT,1982
608,"DEBSCONEAG L, EIGHTH",,RAINBOW TWP,PISCATAQUIS,E,BKT,NRS
2458,DINGLEY P,,T4 R5 NBKP,SOMERSET,E,BKT,1963
2462,DINGLEY P (LITTLE),,T4 R5 NBKP,SOMERSET,E,BKT,NRS
2464,DINGLEY P (UPPER),,T4 R5 NBKP,SOMERSET,E,BKT,NRS
2454,DOLE P,,DOLE BROOK TWP,SOMERSET,E,BKT,NRS
2496,DORITY P,,HAMMOND TWP,SOMERSET,E,BKT,NRS
616,DOUGHNUT P,,RAINBOW TWP,PISCATAQUIS,E,BKT,NRS
376,DOUGHTY P (LOWER),,MONSON,PISCATAQUIS,E,BKT,NRS
374,DOUGHTY P (UPPER),,MONSON,PISCATAQUIS,E,BKT,NRS
4138,DOW P,,SEBEC,PISCATAQUIS,E,BKT,1980
2478,DUBOIS P,,PRENTISS TWP,SOMERSET,E,BKT,NRS
832,DUCK P,,BOWERBANK,PISCATAQUIS,E,BKT,NRS
2894,DUCK P,,T5 R12 WELS,PISCATAQUIS,E,BKT,NRS
257,DUCK P,,T4 R11 WELS,PISCATAQUIS,E,BKT,1959
2954,DUCK P (BIG),,EAST MIDDLESEX CANAL GRANT TWP,PISCATAQUIS,E,BKT,NRS
9855,DURGIN P,CHAIN P #1,JOHNSON MOUNTAIN TWP,SOMERSET,E,BKT,NRS
2870,ELLIS P (LOWER),,T7 R14 WELS,PISCATAQUIS,E,BKT,NRS
2992,ELLIS P (UPPER),,T7 R14 WELS,PISCATAQUIS,E,BKT,NRS
2444,"ELM P, LITTLE",,ELM STREAM TWP,SOMERSET,E,BKT,NRS
148,ENCHANTED P (LITTLE),,UPPER ENCHANTED TWP,SOMERSET,E,BKT,1948
150,ENCHANTED P,,UPPER ENCHANTED TWP,SOMERSET,E,BKT,1991
574,FEMALE P,,T1 R12 WELS,PISCATAQUIS,E,BKT,NRS
2512,FISH P (LITTLE),,ALDER BROOK TWP,SOMERSET,E,BKT,NRS
2666,FISH P (LITTLE),,HOLEB TWP,SOMERSET,E,BKT,NRS
2560,FISHER P #2,,T4 R5 NBKP,SOMERSET,E,BKT,NRS
2940,FISHER P (BIG),,T2 R12 WELS,PISCATAQUIS,E,BKT,NRS
2534,FOGG P,,LONG POND TWP,SOMERSET,E,BKT,NRS
426,FOGG P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,1949
2488,FOLEY P,,COMSTOCK TWP,SOMERSET,E,BKT,1940
388,FOSS P,,KINGSBURY PLT,PISCATAQUIS,E,BKT,1941
2820,FOURTH L,,T7 R11 WELS,PISCATAQUIS,E,BKT,NRS
498,FOX P,,TA R11 WELS,PISCATAQUIS,E,BKT,NRS
2455,FROST P,,T4 R5 NBKP,SOMERSET,E,BKT,NRS
668,FROST P (LITTLE),,T3 R12 WELS,PISCATAQUIS,E,BKT,NRS
2628,GANDER P,,DENNISTOWN PLT,SOMERSET,E,BKT,NRS
620,GOULD P,,RAINBOW TWP,PISCATAQUIS,E,BKT,NRS
152,GRACE P,,UPPER ENCHANTED TWP,SOMERSET,E,BKT,1960
842,GRAPEVINE P (LITTLE),,BOWERBANK,PISCATAQUIS,E,BKT,NRS
420,GRASSY P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,NRS
660,GRASSY P,,T2 R12 WELS,PISCATAQUIS,E,BKT,1939
9853,GRENELL P,,GREENVILLE,PISCATAQUIS,E,BKT,NRS
2456,GRENIER P (BIG),,T4 R5 NBKP,SOMERSET,E,BKT,NRS
2566,HALL P,,PRENTISS TWP,SOMERSET,E,BKT,NRS
2824,HAY P,,T7 R11 WELS,PISCATAQUIS,E,BKT,NRS
2520,HEALD P,,MOOSE RIVER,SOMERSET,E,BKT,1957
790,HEDGEHOG P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,NRS
532,HENDERSON P,,TA R11 WELS,PISCATAQUIS,E,BKT,NRS
304,HILL P #1,HILTON P #1,KINGSBURY PLT,PISCATAQUIS,E,BKT,NRS
306,HILLP #2,HILTON P #2,KINGSBURY PLT,PISCATAQUIS,E,BKT,NRS
626,HORSERACE PONDS,,RAINBOW TWP,PISCATAQUIS,E,BKT,NRS
412,HORSESHOE P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,1941
2540,HORSESHOE P,,PARLIN POND TWP,SOMERSET,E,BKT,1989
292,HUSSEY P,,BLANCHARD TWP,PISCATAQUIS,E,BKT,NRS
2498,HUTCH P,,HAMMOND TWP,SOMERSET,E,BKT,NRS
492,HUTCHINSON P,,TA R11 WELS,PISCATAQUIS,E,BKT,NRS
782,INDIAN POND,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,1995
2866,INDIAN P,,T7 R12 WELS,PISCATAQUIS,E,BKT,NRS
5106,IRON P,,T5 R6 BKP WKR,SOMERSET,E,BKT,NRS
2510,IRONBOUND P,,ALDER BROOK TWP,SOMERSET,E,BKT,NRS
704,JACKSON P #2,JORDAN POND,T3 R11 WELS,PISCATAQUIS,E,BKT,1950
2986,JOHNSON P,,T8 R14 WELS,PISCATAQUIS,E,BKT,NRS
2486,JONES P,,BALD MOUNTAIN TWP T4 R3,SOMERSET,E,BKT,1950
878,JUNIPER KNEE P,,ELLIOTTSVILLE TWP,PISCATAQUIS,E,BKT,NRS
654,KELLY P,,T2 R12 WELS,PISCATAQUIS,E,BKT,NRS
2926,KIDNEY P,,EAST MIDDLESEX CANAL GRANT TWP,PISCATAQUIS,E,BKT,NRS
2490,LANE P,,COMSTOCK TWP,SOMERSET,E,BKT,NRS
2542,LANG P,,PARLIN POND TWP,SOMERSET,E,BKT,1941
2543,LANG P (LITTLE),,PARLIN POND TWP,SOMERSET,E,BKT,NRS
462,LLOYD P,,BOWDOIN COLLEGE GRANT EAST TWP,PISCATAQUIS,E,BKT,NRS
2556,LONE JACK P,CHAIN P #3,JOHNSON MOUNTAIN TWP,SOMERSET,E,BKT,NRS
9861,LONG P (LEWISTON P),,DOLE BROOK TWP,SOMERSET,E,BKT,NRS
424,LOST P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,NRS
2420,LOST P,,RUSSELL POND TWP,SOMERSET,E,BKT,NRS
402,LUCKY P,,SPENCER BAY TWP,PISCATAQUIS,E,BKT,1971
430,LYFORD P (1ST LITTLE),,BOWDOIN COLLEGE GRANT EAST TWP,PISCATAQUIS,E,BKT,NRS
428,LYFORD P (2ND LITTLE),,BOWDOIN COLLEGE GRANT EAST TWP,PISCATAQUIS,E,BKT,1956
438,LYFORD P (BIG),,SHAWTOWN TWP,PISCATAQUIS,E,BKT,1957
280,MARBLE P,,BLANCHARD TWP,PISCATAQUIS,E,BKT,NRS
158,MARKHAM,,JOHNSON MOUNTAIN TWP,SOMERSET,E,BKT,NRS
2474,MARY PETUCHE P,,PRENTISS TWP,SOMERSET,E,BKT,NRS
2982,MILE P,,T8 R14 WELS,PISCATAQUIS,E,BKT,NRS
930,MILL BROOK P,,BOWERBANK,PISCATAQUIS,E,BKT,NRS
5800,MISERY P,,MISERY TWP,SOMERSET,E,BKT,NRS
5802,MISERY P (UPPER),,MISERY TWP,SOMERSET,E,BKT,NRS
382,MOORES P,,MONSON,PISCATAQUIS,E,BKT,NRS
902,MOOSE P,,ELLIOTTSVILLE TWP,PISCATAQUIS,E,BKT,NRS
414,MOUNTAIN BROOK P,,BOWDOIN COLLEGE GRANT WEST TWP,PISCATAQUIS,E,BKT,NRS
2989,MOUNTAIN P,,T8 R14 WELS,PISCATAQUIS,E,BKT,NRS
432,MOUNTAIN P,,BEAVER COVE,PISCATAQUIS,E,BKT,1949
160,MOUNTAIN P (2nd),,JOHNSON MOUNTAIN TWP,SOMERSET,E,BKT,NRS
488,MOUNTAIN VIEW P,,TA R11 WELS,PISCATAQUIS,E,BKT,1947
316,MOXIE P (LITTLE),,EAST MOXIE TWP,SOMERSET,E,BKT,NRS
330,MUD P,,MOOSEHEAD JUNCTION TWP,PISCATAQUIS,E,BKT,NRS
2884,MUD P,,T6 R12 WELS,PISCATAQUIS,E,BKT,NRS
400,MUD P (LITTLE),,GREENVILLE,PISCATAQUIS,E,BKT,1971
2422,MULE P,,RUSSELL POND TWP,SOMERSET,E,BKT,NRS
486,MURPHY P,,TA R11 WELS,PISCATAQUIS,E,BKT,NRS
4036,MUSCALSEA P (BIG),,RUSSELL POND TWP,SOMERSET,E,BKT,NRS
